Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
PNW,2012-12-31,26202000.0,413164000.0,13379615000.0,3972806000.0,9406809000.0,3301804000.0,3.48
PPL,2012-12-31,955000000.0,1526000000.0,43634000000.0,10480000000.0,33154000000.0,12132000000.0,2.61
PRU,2012-12-31,18100000000.0,520000000.0,709235000000.0,38503000000.0,670732000000.0,84847000000.0,-0.48
PSX,2012-12-31,3474000000.0,4124000000.0,48073000000.0,20775000000.0,27298000000.0,179290000000.0,6.55
PWR,2012-12-31,394701000.0,322656000.0,5140757000.0,3766548000.0,1374209000.0,5920269000.0,1.44
PX,2012-12-31,157000000.0,1692000000.0,18090000000.0,6064000000.0,12026000000.0,11224000000.0,5.67
RCL,2012-12-31,310509000.0,18287000.0,19827930000.0,8308749000.0,11519181000.0,7688024000.0,0.08
ROP,2012-12-31,370590000.0,483360000.0,7071104000.0,3687726000.0,3383378000.0,2993489000.0,4.95
RRC,2012-12-31,252000.0,13002000.0,6728735000.0,2357392000.0,4371343000.0,1367135000.0,0.08
SCG,2012-12-31,72000000.0,420000000.0,14616000000.0,4154000000.0,10462000000.0,4176000000.0,3.2
SCHW,2012-12-31,41132000000.0,928000000.0,133637000000.0,9589000000.0,124048000000.0,4883000000.0,0.69
SE,2012-12-31,94000000.0,940000000.0,30587000000.0,8972000000.0,21615000000.0,5075000000.0,1.44
SHW,2012-12-31,862590000.0,631034000.0,6234737000.0,1791804000.0,4442933000.0,9534462000.0,6.15
SLG,2012-12-31,1674489000.0,196405000.0,14386296000.0,6419802000.0,7966494000.0,1290052000.0,1.75
SNI,2012-12-31,437525000.0,681478000.0,4138798000.0,1820924000.0,2317874000.0,2307182000.0,4.48
SO,2012-12-31,635000000.0,2415000000.0,63149000000.0,19004000000.0,43770000000.0,16537000000.0,2.7
SPG,2012-12-31,1184518000.0,1719632000.0,32586606000.0,5910603000.0,26676003000.0,4256157000.0,4.72
SRCL,2012-12-31,31324000.0,267996000.0,3546738000.0,1541793000.0,2004945000.0,1913149000.0,3.14
SRE,2012-12-31,521000000.0,865000000.0,36499000000.0,10282000000.0,26138000000.0,9647000000.0,3.56
STI,2012-12-31,36437000000.0,1958000000.0,173442000000.0,20985000000.0,152457000000.0,11240000000.0,3.62
SWN,2012-12-31,62125000.0,-707000000.0,6737527000.0,3035872000.0,3701655000.0,2730000000.0,-2.03
SYF,2012-12-31,1527000000.0,2119000000.0,53462000000.0,4582000000.0,48880000000.0,10793000000.0,
T,2012-12-31,4868000000.0,7264000000.0,272315000000.0,92362000000.0,179953000000.0,127434000000.0,1.25
TDC,2012-12-31,729000000.0,419000000.0,3066000000.0,1779000000.0,1287000000.0,2665000000.0,2.49
TGNA,2012-12-30,175030000.0,424280000.0,6379886000.0,2350614000.0,4029272000.0,5353197000.0,1.83
TMK,2012-12-31,61710000.0,529324000.0,18776910000.0,4361786000.0,14415124000.0,3589516000.0,5.48
TMO,2012-12-31,805600000.0,1177900000.0,27444600000.0,15464700000.0,11979900000.0,12509900000.0,3.24
TRIP,2012-12-31,367515000.0,194000000.0,1299194000.0,726968000.0,572226000.0,763000000.0,1.39
TSCO,2012-12-29,147030000.0,276457000.0,1706808000.0,1024974000.0,681834000.0,4664120000.0,3.89
