Ticker Symbol;Period Ending;Cash and Cash Equivalents;Net Income;Total Assets;Total Equity;Total Liabilities;Total Revenue;Earnings Per Share
AN;2016-12-31;64800000.0;430500000.0;10060000000.0;2310300000.0;7749700000.0;21609000000.0;
ANTM;2012-12-31;2475300000.0;2655500000.0;58955400000.0;23802700000.0;35152700000.0;61497200000.0;8.26
ANTM;2013-12-31;1582100000.0;2489700000.0;59574500000.0;24765200000.0;34809300000.0;71023500000.0;8.34
ANTM;2014-12-31;2151700000.0;2569700000.0;61676300000.0;24251300000.0;37425000000.0;73874100000.0;9.31
ANTM;2015-12-31;2113500000.0;2560000000.0;61717800000.0;23044100000.0;38673700000.0;79156500000.0;9.73
AON;2012-12-31;291000000.0;993000000.0;30486000000.0;7762000000.0;22724000000.0;11514000000.0;3.03
AON;2013-12-31;477000000.0;1113000000.0;30251000000.0;8145000000.0;22106000000.0;11815000000.0;3.57
AON;2014-12-31;374000000.0;1397000000.0;29772000000.0;6571000000.0;23201000000.0;12045000000.0;4.73
AON;2015-12-31;384000000.0;1385000000.0;27164000000.0;6106000000.0;21058000000.0;11682000000.0;4.93
APA;2012-12-31;160000000.0;2001000000.0;60737000000.0;31331000000.0;29406000000.0;16428000000.0;4.95
APA;2013-12-31;1906000000.0;2288000000.0;61637000000.0;33396000000.0;28241000000.0;14771000000.0;5.53
APA;2014-12-31;769000000.0;-5060000000.0;55952000000.0;25937000000.0;30015000000.0;12691000000.0;-14.06
APA;2015-12-31;1467000000.0;-23528000000.0;18842000000.0;2566000000.0;16276000000.0;6383000000.0;-61.2
APC;2013-12-31;3698000000.0;801000000.0;55781000000.0;21857000000.0;33924000000.0;14581000000.0;1.58
APC;2014-12-31;7369000000.0;-1750000000.0;60967000000.0;19725000000.0;41242000000.0;18470000000.0;-3.47
APC;2015-12-31;939000000.0;-6692000000.0;46331000000.0;12819000000.0;33512000000.0;8698000000.0;-13.18
APC;2016-12-31;3184000000.0;-3071000000.0;45564000000.0;12212000000.0;33352000000.0;7869000000.0;
APD;2013-09-30;450400000.0;994200000.0;17850100000.0;7042100000.0;10808000000.0;10180400000.0;4.74
APD;2014-09-30;336600000.0;991700000.0;17779100000.0;7365800000.0;10413300000.0;10439000000.0;4.66
APD;2015-09-30;206400000.0;1277900000.0;17334500000.0;7249000000.0;10085500000.0;9894900000.0;5.95
APD;2016-09-30;1501300000.0;631100000.0;18055300000.0;7079600000.0;10975700000.0;9524400000.0;2.92
APH;2012-12-31;690850000.0;555300000.0;5215463000.0;2429959000.0;2785504000.0;4292100000.0;3.44
APH;2013-12-31;886800000.0;635700000.0;6168000000.0;2859500000.0;3308500000.0;4614700000.0;4.0
APH;2014-12-31;968900000.0;709100000.0;6985900000.0;2907400000.0;4078500000.0;5345500000.0;2.26
APH;2015-12-31;1737200000.0;763500000.0;7458400000.0;3238500000.0;4219900000.0;5568700000.0;2.47
ARNC;2012-12-31;1861000000.0;191000000.0;40179000000.0;13199000000.0;26980000000.0;23700000000.0;0.18
ARNC;2013-12-31;1437000000.0;-2285000000.0;35742000000.0;10593000000.0;25149000000.0;23032000000.0;-2.14
ARNC;2014-12-31;1877000000.0;268000000.0;37363000000.0;12306000000.0;25057000000.0;23906000000.0;0.21
ARNC;2015-12-31;1919000000.0;-322000000.0;36528000000.0;12046000000.0;24482000000.0;22534000000.0;-0.31
ATVI;2012-12-31;3959000000.0;1149000000.0;14200000000.0;11317000000.0;2883000000.0;4856000000.0;1.01
ATVI;2013-12-31;4410000000.0;1010000000.0;14012000000.0;6622000000.0;7390000000.0;4583000000.0;0.96
ATVI;2014-12-31;4848000000.0;835000000.0;14642000000.0;7233000000.0;7409000000.0;4408000000.0;1.14
ATVI;2015-12-31;1823000000.0;892000000.0;15251000000.0;8068000000.0;7183000000.0;4664000000.0;1.21
AVB;2012-12-31;2733618000.0;423562000.0;11160078000.0;6837215000.0;4322863000.0;1000627000.0;4.34
AVB;2013-12-31;281355000.0;352771000.0;15328143000.0;8596132000.0;6732011000.0;1462921000.0;2.78
AVB;2014-12-31;509460000.0;697327000.0;16140578000.0;9046405000.0;7094173000.0;1685061000.0;5.22
AVB;2015-12-31;400507000.0;741733000.0;16931305000.0;9840526000.0;7090779000.0;1856028000.0;5.54
AVGO;2015-11-01;1822000000.0;1364000000.0;10515000000.0;4714000000.0;5801000000.0;6824000000.0;
AVGO;2016-10-30;3097000000.0;-1861000000.0;49966000000.0;18892000000.0;31074000000.0;13240000000.0;
AVY;2012-12-31;235400000.0;215400000.0;5105300000.0;1580900000.0;3524400000.0;5863500000.0;
AVY;2013-12-28;351600000.0;213200000.0;4610600000.0;1492200000.0;3118400000.0;6140000000.0;2.19
AVY;2015-01-03;207200000.0;245100000.0;4356900000.0;1047700000.0;3309200000.0;6330300000.0;2.65
AVY;2016-01-02;158800000.0;274300000.0;4133700000.0;965700000.0;3168000000.0;5966900000.0;3.01
AWK;2012-12-31;54189000.0;358070000.0;14718976000.0;4444988000.0;10255127000.0;2853926000.0;2.03
AWK;2013-12-31;55469000.0;369000000.0;15088142000.0;4727804000.0;10343161000.0;2879000000.0;2.08
AWK;2014-12-31;37000000.0;423000000.0;16038000000.0;4915000000.0;11108000000.0;3011000000.0;2.36
AWK;2015-12-31;66000000.0;476000000.0;17241000000.0;5049000000.0;12180000000.0;3159000000.0;2.66
AXP;2012-12-31;27526000000.0;4482000000.0;153140000000.0;18886000000.0;134254000000.0;33781000000.0;3.91
AXP;2013-12-31;24004000000.0;5359000000.0;153375000000.0;19496000000.0;133879000000.0;34828000000.0;4.91
AXP;2014-12-31;26249000000.0;5885000000.0;159103000000.0;20673000000.0;138430000000.0;35895000000.0;
AXP;2015-12-31;26263000000.0;5163000000.0;161184000000.0;20673000000.0;140511000000.0;34441000000.0;
AYI;2013-08-31;359100000.0;127400000.0;1903800000.0;993500000.0;910300000.0;2089100000.0;2.97
AYI;2014-08-31;552500000.0;175800000.0;2166400000.0;1163500000.0;1002900000.0;2393500000.0;4.07
AYI;2015-08-31;756800000.0;222100000.0;2407000000.0;1360000000.0;1047000000.0;2706700000.0;5.13
AYI;2016-08-31;413200000.0;290800000.0;2948000000.0;1659800000.0;1288200000.0;3291300000.0;6.67
AZO;2013-08-31;142191000.0;1016480000.0;6892089000.0;-1687319000.0;8579408000.0;9147530000.0;28.28
AZO;2014-08-30;124485000.0;1069744000.0;7497163000.0;-1621857000.0;9119020000.0;9475313000.0;32.16
AZO;2015-08-29;175309000.0;1160241000.0;8102349000.0;-1701390000.0;9803739000.0;10187340000.0;36.76
AZO;2016-08-27;189734000.0;1241007000.0;8599787000.0;-1787538000.0;10387325000.0;10635676000.0;41.52
BA;2013-12-31;9088000000.0;4585000000.0;92663000000.0;14875000000.0;77788000000.0;86623000000.0;6.03
BA;2014-12-31;11733000000.0;5446000000.0;92921000000.0;8665000000.0;84256000000.0;90762000000.0;7.47
BA;2015-12-31;11302000000.0;5176000000.0;94408000000.0;6335000000.0;88073000000.0;96114000000.0;7.52
BA;2016-12-31;8801000000.0;4895000000.0;89997000000.0;817000000.0;89180000000.0;94571000000.0;
BAC;2012-12-31;626626000000.0;4188000000.0;2209974000000.0;236956000000.0;1973018000000.0;100078000000.0;0.26
BAC;2013-12-31;577793000000.0;11431000000.0;2102273000000.0;232685000000.0;1869588000000.0;101697000000.0;0.94
BAC;2014-12-31;581963000000.0;4833000000.0;2104534000000.0;243471000000.0;1861063000000.0;95181000000.0;0.36
BAC;2015-12-31;612987000000.0;15888000000.0;2144316000000.0;256205000000.0;1888111000000.0;93056000000.0;
BAX;2012-12-31;3270000000.0;2326000000.0;20390000000.0;6938000000.0;13452000000.0;13936000000.0;4.22
BAX;2013-12-31;2733000000.0;2012000000.0;25224000000.0;8463000000.0;16761000000.0;9413000000.0;3.7
BAX;2014-12-31;2925000000.0;2497000000.0;26138000000.0;8120000000.0;18018000000.0;10719000000.0;4.61
BAX;2015-12-31;2213000000.0;968000000.0;20975000000.0;8846000000.0;12129000000.0;9968000000.0;1.78
BBBY;2013-03-02;564971000.0;1037788000.0;6279952000.0;4079730000.0;2200222000.0;10914585000.0;4.62
BBBY;2014-03-01;366516000.0;1022290000.0;6356033000.0;3941287000.0;2414746000.0;11503963000.0;4.85
BBBY;2015-02-28;875574000.0;957474000.0;6758993000.0;2743190000.0;4015803000.0;11881176000.0;5.13
BBBY;2016-02-27;515573000.0;841489000.0;6498940000.0;2559540000.0;3939400000.0;12103887000.0;5.15
BBT;2012-12-31;42267000000.0;1979000000.0;184499000000.0;21158000000.0;163341000000.0;10737000000.0;2.74
BBT;2013-12-31;42370000000.0;1680000000.0;183010000000.0;22759000000.0;160251000000.0;10543000000.0;2.22
BBT;2014-12-31;43472000000.0;2131000000.0;186834000000.0;24289000000.0;162545000000.0;9998000000.0;2.79
BBT;2015-12-31;47538000000.0;2084000000.0;209947000000.0;27306000000.0;182641000000.0;10346000000.0;2.59
BBY;2012-03-03;1199000000.0;-1231000000.0;16005000000.0;3745000000.0;12260000000.0;45457000000.0;-3.36
BBY;2014-02-01;2678000000.0;532000000.0;14013000000.0;3986000000.0;10027000000.0;40611000000.0;1.56
BBY;2015-01-31;2432000000.0;1233000000.0;15245000000.0;4995000000.0;10250000000.0;40339000000.0;3.53
BBY;2016-01-30;1976000000.0;897000000.0;13519000000.0;4378000000.0;9141000000.0;39528000000.0;2.59
BCR;2013-12-31;1083200000.0;689800000.0;5041100000.0;2088200000.0;2952900000.0;3049500000.0;8.54
BCR;2014-12-31;1007600000.0;294500000.0;5092600000.0;1804900000.0;3287700000.0;3323600000.0;3.83
BCR;2015-12-31;1030900000.0;135400000.0;4844000000.0;1455300000.0;3388700000.0;3416000000.0;1.8
BCR;2016-12-31;1106500000.0;531400000.0;5306100000.0;1675100000.0;3631000000.0;3714000000.0;
BDX;2013-09-30;1890000000.0;1293000000.0;12149000000.0;5043000000.0;7106000000.0;8054000000.0;6.63
BDX;2014-09-30;1861000000.0;1185000000.0;12447000000.0;5053000000.0;7395000000.0;8446000000.0;6.13
BDX;2015-09-30;1424000000.0;695000000.0;26478000000.0;7164000000.0;19314000000.0;10282000000.0;3.43
BDX;2016-09-30;1541000000.0;976000000.0;25586000000.0;7633000000.0;17953000000.0;12483000000.0;4.59
BHI;2013-12-31;1399000000.0;1096000000.0;27934000000.0;17713000000.0;10221000000.0;22364000000.0;2.47
BHI;2014-12-31;1740000000.0;1719000000.0;28827000000.0;18625000000.0;10202000000.0;24551000000.0;3.93
BHI;2015-12-31;2324000000.0;-1967000000.0;24080000000.0;16298000000.0;7782000000.0;15742000000.0;-4.49
BHI;2016-12-31;4572000000.0;-2738000000.0;19034000000.0;12656000000.0;6378000000.0;9841000000.0;
BIIB;2013-12-31;602562000.0;1862300000.0;11863335000.0;8620242000.0;3243093000.0;6932200000.0;7.86
BIIB;2014-12-31;1204900000.0;2934800000.0;14314700000.0;10809000000.0;3505700000.0;9703300000.0;12.42
BIIB;2015-12-31;1308000000.0;3547000000.0;19504800000.0;9372800000.0;10132000000.0;10763800000.0;15.38
BIIB;2016-12-31;2326500000.0;3702800000.0;22876800000.0;12140100000.0;10736700000.0;11448800000.0;
BK;2012-12-31;145340000000.0;2437000000.0;358990000000.0;36431000000.0;322559000000.0;14528000000.0;2.04
BK;2013-12-31;155280000000.0;2104000000.0;374516000000.0;37497000000.0;337019000000.0;14942000000.0;1.75
BK;2014-12-31;143449000000.0;2567000000.0;385303000000.0;37441000000.0;347862000000.0;15649000000.0;2.17
BK;2015-12-31;159259000000.0;3158000000.0;393780000000.0;38037000000.0;355743000000.0;14951000000.0;2.73
BLL;2012-12-31;174100000.0;396300000.0;7507100000.0;1114600000.0;6392500000.0;8735700000.0;2.61
BLL;2013-12-31;416000000.0;406800000.0;7820400000.0;1224600000.0;6595800000.0;8468100000.0;2.79
BLL;2014-12-31;191400000.0;470000000.0;7571000000.0;1033100000.0;6537900000.0;8570000000.0;3.39
BLL;2015-12-31;224000000.0;280900000.0;9777000000.0;1251300000.0;8525700000.0;7997000000.0;2.05
BMY;2012-12-31;1656000000.0;1960000000.0;35897000000.0;13623000000.0;22274000000.0;17621000000.0;1.17
BMY;2013-12-31;3586000000.0;2563000000.0;38592000000.0;15154000000.0;23438000000.0;16385000000.0;1.56
BMY;2014-12-31;5571000000.0;2004000000.0;33749000000.0;14852000000.0;18897000000.0;15879000000.0;1.21
BMY;2015-12-31;2385000000.0;1565000000.0;31748000000.0;14266000000.0;17482000000.0;16560000000.0;0.94
BSX;2012-12-31;207000000.0;-4068000000.0;17154000000.0;6870000000.0;10284000000.0;7249000000.0;-2.89
BSX;2013-12-31;217000000.0;-121000000.0;16571000000.0;6539000000.0;10032000000.0;7143000000.0;-0.09
BSX;2014-12-31;587000000.0;-119000000.0;17024000000.0;6457000000.0;10567000000.0;7380000000.0;-0.09
BSX;2015-12-31;319000000.0;-239000000.0;18133000000.0;6320000000.0;11813000000.0;7477000000.0;-0.18
BWA;2013-12-31;939500000.0;624300000.0;6917000000.0;3560600000.0;3356400000.0;7436600000.0;2.73
